X,Y,Fuel_Type_Code,Station_Name,Street_Address,Station_Phone,Groups_With_Access_Code,Access_Days_Time,Cards_Accepted,EV_Level2_EVSE_Num,EV_Network,EV_Network_Web,Date_Last_Confirmed,Updated_At,Open_Date,Facility_Type,EV_Pricing,OBJECTID,Latitude,Longitude,ID
1450440.00012864,538799.00002256,ELEC,Le Meridien Charlotte Hotel - Tesla Destination,555 S McDowell St,704-362-9710  877-798-3752,Public,"24 hours daily; for customer use only; see valet for access",,2,Tesla Destination,https://www.tesla.com/destination-charging,2020/11/03 00:00:00+00,2021/03/11 23:22:17+00,2017/03/01 00:00:00+00,HOTEL,Free,11,35.216456,-80.840117,114674
1435520.00011306,518299.000012144,ELEC,Crowne Plaza Charlotte Executive Park - Tesla Destination,5700 Westpark Dr,704-527-9650  877-798-3752,Public,"24 hours daily; for customer use only; see front desk for access",,6,Tesla Destination,https://www.tesla.com/destination-charging,2020/11/03 00:00:00+00,2021/03/11 23:22:17+00,2018/11/01 00:00:00+00,HOTEL,Free,12,35.159369,-80.888739,114675
1447239.99996696,545107.999871731,ELEC,DoubleTree by Hilton Hotel Charlotte - Tesla Destination,895 W Trade St,704-347-0070  877-798-3752,Public,"24 hours daily; for customer use only; see front desk for access",,3,Tesla Destination,https://www.tesla.com/destination-charging,2020/11/03 00:00:00+00,2021/03/11 23:22:17+00,2018/11/01 00:00:00+00,HOTEL,Free,13,35.233623,-80.851227,114676
1450679.99997672,585562.999998316,ELEC,Residence Inn & Courtyard by Marriott Charlotte Nort - Tesla Destination,9110 Harris Corners Pkwy,704-719-9444  877-798-3752,Public,"24 hours daily; for customer use only",,2,Tesla Destination,https://www.tesla.com/destination-charging,2020/11/03 00:00:00+00,2021/03/11 23:22:17+00,2018/11/01 00:00:00+00,HOTEL,Free,14,35.344936,-80.842227,114677
1453029.99986988,513534.000027731,ELEC,WHOLE FOODS MKT CHARLOTTE 01,6610 Fairview Rd,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2019/01/16 00:00:00+00,,,15,35.147177,-80.829899,117021
1437350.00006197,502554.000006139,ELEC,HENDRICK SBLVD SERVICE 2,8901 South Blvd,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2019/01/25 00:00:00+00,,,16,35.116208,-80.881641,117333
1410509.9999363,520744.000043392,ELEC,MJM GROUP STATION 1,5110 Trojan Dr,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2019/02/09 00:00:00+00,,,17,35.164749,-80.972577,117778
1469670.00005439,554775.999892637,ELEC,Capital Ford,5411 N Tryon St,844-242-1515,Public - Call ahead,Dealership business hours,,1,Non-Networked,,2021/01/14 00:00:00+00,2021/03/11 23:22:17+00,2019/03/01 00:00:00+00,CAR_DEALER,,18,35.261309,-80.776713,118968
1450320.00004056,543475.999854892,ELEC,"CHARLOTTE, NC DISCOVERY 0001",301 N Tryon St,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2019/03/27 00:00:00+00,,,19,35.229298,-80.840806,121009
1450679.99997672,585562.999998316,ELEC,Residence Inn & Courtyard - Charlotte North,9110 Harris Corners Pkwy,704-719-9444,Public,"24 hours daily; for guest use only",,2,Non-Networked,,2020/12/03 00:00:00+00,2021/03/11 23:22:17+00,2018/11/01 00:00:00+00,HOTEL,Free,20,35.344936,-80.842227,121301
1473549.9998403,565002.000109896,ELEC,Parks Chevrolet Charlotte,8530 Ikea Blvd,704-227-5851,Public - Call ahead,Dealership business hours,,2,Non-Networked,,2020/12/03 00:00:00+00,2021/03/11 23:22:17+00,2019/04/01 00:00:00+00,CAR_DEALER,,21,35.28959291649699,-80.76429418518069,121303
1479539.99999939,572240.000069559,ELEC,University of North Carolina Charlotte - CRI Deck 1,9100 Robert D. Snyder Rd,704-687-0161,Public,Garage business hours,,8,Non-Networked,,2020/12/03 00:00:00+00,2021/03/11 23:22:17+00,2016/01/01 00:00:00+00,COLLEGE_CAMPUS,,22,35.309767,-80.744669,121304
1481839.99999255,570238.000136554,ELEC,University of North Carolina Charlotte - South Village Parking Deck,8908 Cameron Blvd,704-687-0161,Public,Garage business hours,,8,Non-Networked,,2020/12/03 00:00:00+00,2021/03/11 23:22:17+00,2016/01/01 00:00:00+00,COLLEGE_CAMPUS,,23,35.30438,-80.736847,121305
1483450.00005339,569374.999894068,ELEC,University of North Carolina Charlotte - East Deck 3,9201 University City Blvd,704-687-0161,Public,Garage business hours,,4,Non-Networked,,2020/12/03 00:00:00+00,2021/03/11 23:22:17+00,2016/01/01 00:00:00+00,COLLEGE_CAMPUS,,24,35.302085,-80.731393,121306
1482980.00000913,514802.000116393,ELEC,Keffer Chrysler Jeep Dodge Ram,8214 E Independence Blvd,877-426-0070,Public - Call ahead,Dealership business hours,,1,Non-Networked,,2020/12/03 00:00:00+00,2021/03/11 23:22:17+00,2019/04/01 00:00:00+00,CAR_DEALER,,25,35.152137,-80.729776,121308
1462240.00015064,524507.000063315,ELEC,Publix #1518,4425 Randolph Rd,704-367-5208,Public,7am-10pm daily,,4,Non-Networked,,2021/02/15 00:00:00+00,2021/03/11 23:22:17+00,2019/04/01 00:00:00+00,GROCERY,,26,35.177786,-80.799739,121309
1471409.99985522,478276.000005811,ELEC,Whole Foods Market,7221 Waverly Walk Ave,980-213-2400,Public,7am-10pm daily,,4,Non-Networked,,2020/04/08 00:00:00+00,2021/03/11 23:22:17+00,2017/05/01 00:00:00+00,GROCERY,Free,27,35.05123,-80.766313,121313
1449190.00000396,542280.999948308,ELEC,237 S Tryon St Garage - Tesla Destination,237 S Tryon St,704-375-6014  877-798-3752,Public,24 hours daily,,6,Tesla Destination,https://www.tesla.com/destination-charging,2020/11/03 00:00:00+00,2021/03/11 23:22:17+00,2019/03/01 00:00:00+00,,Free,28,35.225958,-80.844521,122500
1483209.99987721,512878.000027388,ELEC,Verizon - Charlotte,2401 Sardis Rd N,,Private,For employee use only,,4,Non-Networked,,2021/03/15 00:00:00+00,2021/03/15 13:14:11+00,2019/05/01 00:00:00+00,OFFICE_BLDG,,29,35.146862,-80.728887,123325
1450679.99997672,543820.000151142,ELEC,Bank of America - Financial Center,201 N Tryon St,980-335-3561,Public,Business hours,,4,Non-Networked,,2021/05/06 00:00:00+00,2021/05/06 13:19:19+00,2019/05/01 00:00:00+00,BANK,,30,35.230261,-80.839631,123510
1442630.00000064,621656.999988645,ELEC,WHOLE FOODS MKT HUNTERSVILLE 2,9129 Sam Furr Rd,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2019/08/15 00:00:00+00,,,31,35.443676,-80.871495,143294
1447330.00011505,520781.999967396,ELEC,NOVEL MONTFORD EV CHARGER 01,4701 Park Rd,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2019/08/15 00:00:00+00,,,32,35.1668,-80.849396,143533
1450660.00001672,480070.000026733,ELEC,MetLife - Charlotte,11225 N Community House Rd,,Private,Employee Use Only,,2,Non-Networked,,2021/01/14 00:00:00+00,2021/11/11 23:36:35+00,2019/08/18 00:00:00+00,OFFICE_BLDG,,33,35.055125,-80.835756,143811
1450970.00005288,626244.000000983,ELEC,EUHOME CORNELIUS OFF,18019 Old Statesville Rd,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2019/08/20 00:00:00+00,,,34,35.456705,-80.84379,143869
1492650.00002605,497778.00004372,ELEC,SD3#1 LEVINE 1,2820 Campus Ridge Rd,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2019/09/05 00:00:00+00,,,35,35.105824,-80.69647,144981
1447330.00011505,541590.000017971,ELEC,720 GARAGE STATION 03,621 S Poplar St,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2019/09/14 00:00:00+00,,,36,35.223964,-80.850699,145223
1447330.00011505,541586.000025973,ELEC,720 GARAGE STATION 01,720 S Church St,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2019/09/14 00:00:00+00,,,37,35.223952,-80.850715,145224
1421799.99999405,580875.999857888,ELEC,COC CORNING OPT 4,4200 Corning Pl,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2019/10/12 00:00:00+00,,,38,35.33055,-80.938725,146881
1417259.99988772,518030.999891981,ELEC,CPI SECURITY STATION 1,4300 Sandy Porter Rd,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2019/12/04 00:00:00+00,,,39,35.15766,-80.94982,149713
1448879.9999678,485246.999843314,ELEC,Toringdon Market - Tesla Supercharger,3429 Toringdon Way,877-798-3752,Public,"24 hours daily; for Tesla use only",,,Tesla,http://www.teslamotors.com/supercharger,2021/10/11 00:00:00+00,2021/11/04 18:37:47+00,2019/11/19 00:00:00+00,SHOPPING_CENTER,"$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW",40,35.069256,-80.842023,150209
1448190.00003546,541549.000099972,ELEC,"CHARLOTTE, NC DISCOVERY 1",315 N Church St,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2019/12/17 00:00:00+00,,,41,35.223895,-80.847825,150271
1479439.9998713,519480.999944732,ELEC,HENDRICK MINI HENDRICK MINI,7036 E Independence Blvd,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2020/01/24 00:00:00+00,,,42,35.16482,-80.74191,153007
1392390.00008714,494661.000044137,ELEC,The Newton Apartments,15934 White St,888-998-2546,Private,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,1,Blink Network,http://www.blinkcharging.com/,2021/12/03 00:00:00+00,2021/12/03 22:55:11+00,2020/03/03 00:00:00+00,,Level 2: $0.49 per kWh,43,35.09209,-81.0314,154217
1453689.99986222,538080.000148222,ELEC,SD3#1 PD2 STATION 1,1108 Charlottetowne Avenue,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2020/04/24 00:00:00+00,,,44,35.214645,-80.829184,155547
1450320.00004056,542514.000138476,ELEC,Bank of America - Charlotte,150 N College St,,Private,,,6,Non-Networked,,2021/05/06 00:00:00+00,2021/05/06 13:19:19+00,2017/10/05 00:00:00+00,BANK,,45,35.226655,-80.840749,155670
1443959.99996531,535480.000098899,ELEC,ATHERTONGARAGE 2ND LVL STN 1,2100 South Blvd,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2020/06/09 00:00:00+00,,,46,35.207005,-80.861607,158573
1475260.00002922,563887.000043318,ELEC,Oxford Gateway Apartments LLC station location,Libby Way,800-663-5633,Public,"MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified",,6,SemaCharge Network,https://semaconnect.com/,2021/12/04 00:00:00+00,2021/12/04 00:22:19+00,2020/06/16 00:00:00+00,,FREE,47,35.2866123,-80.7585199,163400
1453489.99993414,593775.999976471,ELEC,Audi Northlake North Side,10831 Northlake Auto Plaza Blvd,888-998-2546,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,2,Blink Network,http://www.blinkcharging.com/,2021/12/03 00:00:00+00,2021/12/03 22:55:11+00,2020/07/24 00:00:00+00,,Free,48,35.36764,-80.833319,164482
1453369.99984606,593898.000060558,ELEC,Audi Northlake South Side,10831 Northlake Auto Plaza Blvd,888-998-2546,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,2,Blink Network,http://www.blinkcharging.com/,2021/12/03 00:00:00+00,2021/12/03 22:55:11+00,2020/07/24 00:00:00+00,,Free,49,35.367969,-80.833713,164484
1442009.99992831,532728.000025481,ELEC,EVERY CHARGING NEW BERN,145 New Bern St,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2020/08/12 00:00:00+00,,,50,35.199345,-80.867961,165174
1417899.99992006,545999.000058234,ELEC,Duke Energy,6301 Wilkinson Blvd,,Private,Employee and fleet use only,,2,Non-Networked,,2020/09/03 00:00:00+00,2021/11/11 16:46:47+00,2020/08/31 00:00:00+00,UTILITY,,51,35.234528,-80.949512,165799
1441140.00002788,541570.00005798,ELEC,Mecklenburg County - Land Use & Environmental Services Agency,2145 Suttle Ave,,Private,24 hours daily,A D M V,6,EV Connect,http://evconnect.com/,2020/10/09 00:00:00+00,2021/03/11 23:22:17+00,2019/12/26 00:00:00+00,MUNI_GOV,,52,35.223591,-80.871421,166359
1434429.99999647,548628.000049561,ELEC,Mecklenburg County,3205 Freedom Dr,866-816-7584,Public - Credit card at all times,"24 hours daily; Also accepts Paypal",A D M V,6,EV Connect,http://evconnect.com/,2020/10/09 00:00:00+00,2021/03/11 23:22:17+00,2019/05/02 00:00:00+00,STATE_GOV,,53,35.2426308,-80.8943285,166677
1447530.00004314,609139.000090316,ELEC,HUNTERSVILLE MARK OIL L3,101 Statesville Rd,888-758-4389,Public,24 hours daily,,,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2020/09/15 00:00:00+00,,,54,35.409541,-80.85426,166854
1441140.00002788,562419.000026554,ELEC,"CHARLOTTE, NC 247 EV ARC",4411 Northpointe Industrial Blvd,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2020/11/11 00:00:00+00,,,55,35.280866,-80.872726,168263
1475900.00006156,567130.000118971,ELEC,"Walmart 2134 - Charlotte, NC",7735 North Tryon Street,833-632-2778,Public,24 hours daily,,,Electrify America,https://www.electrifyamerica.com/,2021/12/04 00:00:00+00,2021/12/04 01:25:30+00,2020/11/11 00:00:00+00,,,56,35.295553,-80.756552,168271
1477639.99986239,571662.999911234,ELEC,Hilton Charlotte University Place - Tesla Destination,8629 JM Keynes Dr,877-798-3752  877-798-3752,Public,"24 hours daily; for customer use only; see front desk for access",,6,Tesla Destination,https://www.tesla.com/destination-charging,2020/11/03 00:00:00+00,2021/03/11 23:22:17+00,2020/11/03 00:00:00+00,,Free,57,35.30809,-80.75099,168836
1416439.9998873,515849.999988899,ELEC,SpringHill Suites Charlotte Southwest - Tesla Destination,3950 Arco Corporate Dr,877-798-3752  877-798-3752,Public,"24 hours daily; for customer use only; see front desk for access",,2,Tesla Destination,https://www.tesla.com/destination-charging,2020/11/03 00:00:00+00,2021/03/11 23:22:17+00,2020/11/03 00:00:00+00,,Free,58,35.151626,-80.952406,169124
1446690.00008272,610644.000033066,ELEC,"CHARLOTTE, NC HUNTERSVILLE 02",10300 Compass St,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,59,35.413632,-80.857176,171833
1419009.99999663,541286.999967813,ELEC,CLT AIRPORT LEVEL6_ST1,5501 R C Josh Birmingham Pkwy,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,60,35.221642,-80.945506,171915
1419039.99993664,541288.999963805,ELEC,CLT AIRPORT LEVEL6_ST3,5501 R C Josh Birmingham Pkwy,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,61,35.22165,-80.945388,171916
1419059.99989663,541348.999843806,ELEC,CLT AIRPORT LEVEL5_ST3,5501 R C Josh Birmingham Pkwy,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,62,35.221817,-80.945334,171917
1419019.99997663,541279.999981806,ELEC,CLT AIRPORT LEVEL6_ST2,5501 R C Josh Birmingham Pkwy,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,63,35.221624,-80.945442,171918
1419039.99993664,541336.999867812,ELEC,CLT AIRPORT LEVEL5_ST2,5501 R C Josh Birmingham Pkwy,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,64,35.221782,-80.945409,171919
1419189.99996471,541291.999957815,ELEC,CLT AIRPORT LEVEL4_ST2,5501 R C Josh Birmingham Pkwy,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,65,35.221668,-80.944873,171920
1419219.99990472,541300.999939814,ELEC,CLT AIRPORT LEVEL4_ST3,5501 R C Josh Birmingham Pkwy,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,66,35.221694,-80.944798,171921
1419019.99997663,541340.99985981,ELEC,CLT AIRPORT LEVEL5_ST1,5501 R C Josh Birmingham Pkwy,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,67,35.221791,-80.945474,171922
1471179.99998714,577449.000150234,ELEC,"CHARLOTTE, NC MALLARD CK 01",1712 J N Pease Pl,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,68,35.32367,-80.773012,171959
1436810.00015771,499150.999922395,ELEC,"CHARLOTTE, NC CATS I-485 1",9512 South Blvd,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,69,35.10683,-80.883225,172490
1436749.99994963,499218.000116482,ELEC,"CHARLOTTE, NC CATS I-485 2",9512 South Blvd,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,70,35.107013,-80.883413,172491
1450590.00015672,540878.00012964,ELEC,"CHARLOTTE, NC CMGC PRKG L1-3",232 S Davidson St,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,71,35.222173,-80.839739,172640
1450549.99990864,540841.999873564,ELEC,"CHARLOTTE, NC CMGC PRKG L1-1",232 S Davidson St,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,72,35.222073,-80.839875,172642
1450549.99990864,540850.999855563,ELEC,"CHARLOTTE, NC CMGC STATION 2",232 S Davidson St,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,73,35.222099,-80.83987,172643
1448820.0000878,542188.000134304,ELEC,SPECTRUM BLDG B1,300 S Tryon St,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,74,35.225683,-80.84576,172905
1448810.00010781,542189.000132307,ELEC,SPECTRUM BLDG B2 5,300 S Tryon St,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,75,35.225686,-80.845775,172906
1448810.00010781,542185.000140309,ELEC,SPECTRUM BLDG B2 3,300 S Tryon St,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,76,35.225675,-80.845784,172907
1448810.00010781,542185.000140309,ELEC,SPECTRUM BLDG B2 6,300 S Tryon St,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,77,35.225674,-80.845771,172908
1448820.0000878,542184.000142306,ELEC,SPECTRUM BLDG B2 4,300 S Tryon St,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,78,35.225671,-80.84576,172909
1448810.00010781,542181.000148311,ELEC,SPECTRUM BLDG B2 2,300 S Tryon St,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,79,35.225662,-80.845792,172910
1422349.9998783,545545.999979973,ELEC,CLT AIRPORT BUS VALET 01,5601 Wilkinson Blvd,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,80,35.233524,-80.934585,173008
1422440.00002639,545434.999873891,ELEC,CLT AIRPORT BUS VALET 02,5601 Wilkinson Blvd,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,81,35.233223,-80.934266,173009
1421999.99992214,545371.000001892,ELEC,CLT AIRPORT BUS. VALET 03,5601 Wilkinson Blvd,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,82,35.233024,-80.935744,173010
1422009.99990214,545380.999981895,ELEC,CLT AIRPORT BUS. VALET 04,5601 Wilkinson Blvd,888-758-4389,Public,24 hours daily,,2,ChargePoint Network,http://www.chargepoint.com/,2021/12/04 00:00:00+00,2021/12/04 00:31:15+00,2021/01/27 00:00:00+00,,,83,35.233052,-80.935729,173011
